addr_state,fail,good
Alabama,12.756264236902052,87.24373576309794
Alaska,20.77922077922078,79.22077922077922
Arizona,15.070093457943926,84.92990654205607
Arkansas,13.025210084033615,86.97478991596638
Armed Forces Americas,0.0,100.0
California,16.62718389102754,83.37281610897246
Colorado,11.673151750972762,88.32684824902724
Connecticut,13.157894736842104,86.8421052631579
Delaware,12.903225806451612,87.09677419354838
District of Columbia,7.653061224489796,92.3469387755102
Florida,18.694256154120584,81.30574384587942
Georgia,16.77607585703866,83.22392414296135
Hawaii,16.666666666666664,83.33333333333334
Idaho,12.5,87.5
Illinois,14.051214707813525,85.94878529218647
Indiana,36.84210526315789,63.1578947368421
Iowa,16.666666666666664,83.33333333333334
Kansas,12.915129151291513,87.08487084870849
Kentucky,15.654952076677317,84.34504792332268
Louisiana,12.771084337349398,87.2289156626506
Maine,0.0,100.0
Maryland,16.633663366336634,83.36633663366337
Massachusetts,13.229571984435799,86.7704280155642
Michigan,14.83050847457627,85.16949152542372
Minnesota,14.90787269681742,85.09212730318258
Mississippi,25.0,75.0
Missouri,18.61152141802068,81.38847858197931
Montana,18.181818181818183,81.81818181818183
Nebraska,50.0,50.0
Nevada,23.505154639175256,76.49484536082474
New Hampshire,15.294117647058824,84.70588235294117
New Jersey,15.20891364902507,84.79108635097494
New Mexico,16.666666666666664,83.33333333333334
New York,13.668287412209617,86.33171258779039
North Carolina,14.725568942436412,85.27443105756359
Ohio,13.48221670802316,86.51778329197684
Oklahoma,13.732394366197184,86.26760563380282
Oregon,16.94510739856802,83.05489260143199
Pennsylvania,13.212608987256875,86.78739101274311
Rhode Island,12.903225806451612,87.09677419354838
South Carolina,14.61187214611872,85.38812785388129
South Dakota,15.789473684210526,84.21052631578947
Tennessee,20.0,80.0
Texas,13.102924420812762,86.89707557918724
Unknown,100.0,0.0
Utah,16.92913385826772,83.07086614173228
Vermont,11.538461538461538,88.46153846153845
Virginia,12.956068503350707,87.0439314966493
Washington,16.791979949874687,83.20802005012531
West Virginia,12.048192771084338,87.95180722891565
Wisconsin,14.799154334038056,85.20084566596195
Wyoming,5.128205128205128,94.87179487179486
